PersonenID,Alter,Geschlecht,Beruf,Haushaltstyp,Wohnviertel,Startzeit,Endzeit,Startort,Zielort,Zweck,Entfernung_km,Verkehrsmittel,Multimodal,start_lat,start_lon,ziel_lat,ziel_lon,Stadtteil Start,Stadtteil Ziel
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,05:41,06:18,Herrenstraße,Kriegsstraße,Einkaufen,5.1,Fahrrad,nein,49.008363,8.397772,49.004556,8.419383,Innenstadt-West,Oststadt
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,10:33,11:18,Kriegsstraße,Kaiserstraße,Sport,3.9,Fahrrad,nein,49.004556,8.419383,49.009621,8.403275,Oststadt,Innenstadt-West
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,19:57,20:07,Kaiserstraße,Turmberg,Sport,3.4,ÖPNV,nein,49.009621,8.403275,49.009716,8.401216,Innenstadt-West,Innenstadt-West
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,22:36,23:07,Turmberg,Generalbundesanwalt,Sport,4.1,Auto,nein,49.009716,8.401216,49.009716,8.401216,Innenstadt-West,Innenstadt-West
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,23:42,00:08,Generalbundesanwalt,Rüppurrer Straße,Einkaufen,3.4,zu Fuß,nein,49.009716,8.401216,48.999828,8.410641,Innenstadt-West,Südstadt
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,08:03,08:36,Rüppurrer Straße,Kammertheater Karlsruhe,Arbeit,3.6,multimodal,ja,48.999828,8.410641,53.653046,12.801859,Südstadt,Hagsfeld
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,13:11,13:26,Kammertheater Karlsruhe,Oberreut,Sport,6.4,ÖPNV,nein,53.653046,12.801859,48.98578,8.361476,Hagsfeld,Oberreut
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,18:17,18:37,Oberreut,Herrenstraße,Heimweg,5.5,ÖPNV,nein,48.98578,8.361476,49.008363,8.397772,Oberreut,Innenstadt-West
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,06:58,07:43,Bundesgerichtshof,Kriegsstraße,Arbeit,6.9,Fahrrad,nein,49.009716,8.401216,49.004556,8.419383,Innenstadt-West,Oststadt
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,14:29,15:04,Kriegsstraße,Staatliche Kunsthalle Karlsruhe,Schule/Uni,4.7,E-Scooter,nein,49.004556,8.419383,53.653046,12.801859,Oststadt,Hagsfeld
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,15:16,15:57,Staatliche Kunsthalle Karlsruhe,Südweststadt,Arztbesuch,3.5,Fahrrad,nein,53.653046,12.801859,49.000095,8.384074,Hagsfeld,Südweststadt
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,18:50,19:35,Südweststadt,Karlsbader Straße,Sport,3.6,E-Scooter,nein,49.000095,8.384074,48.953329,8.506621,Südweststadt,Stupferich
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,20:03,20:21,Karlsbader Straße,Rüppurrer Straße,Arbeit,2.9,Auto,nein,48.953329,8.506621,48.999828,8.410641,Stupferich,Südstadt
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,20:56,21:33,Rüppurrer Straße,Kreativpark Alter Schlachthof,Sport,5.9,E-Scooter,nein,48.999828,8.410641,49.005437,8.430296,Südstadt,Oststadt
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,22:27,23:12,Kreativpark Alter Schlachthof,Bundesgerichtshof,Heimweg,3.5,Auto,nein,49.005437,8.430296,49.009716,8.401216,Oststadt,Innenstadt-West
3,46,männlich,Rentner*in,Familie mit Kindern,Südweststadt,06:28,06:38,Sophienstraße,Oberwald,Freizeit,7.3,E-Scooter,nein,49.008096,8.377471,49.069726,8.298278,Weststadt,Knielingen
3,46,männlich,Rentner*in,Familie mit Kindern,Südweststadt,07:04,07:33,Oberwald,Staatliche Kunsthalle Karlsruhe,Erholung,6.3,Fahrrad,nein,49.069726,8.298278,53.653046,12.801859,Knielingen,Hagsfeld
3,46,männlich,Rentner*in,Familie mit Kindern,Südweststadt,12:51,13:34,Staatliche Kunsthalle Karlsruhe,Sophienstraße,Heimweg,5.1,Auto,nein,53.653046,12.801859,49.008096,8.377471,Hagsfeld,Weststadt
4,32,weiblich,Schüler*in,Familie mit Kindern,Oststadt,05:40,06:21,Wildparkstadion,Erbprinzenstraße,Freizeit,7.3,Fahrrad,nein,49.009716,8.401216,49.008238,8.399335,Innenstadt-West,Innenstadt-West
4,32,weiblich,Schüler*in,Familie mit Kindern,Oststadt,07:39,07:59,Erbprinzenstraße,Wolfartsweier,Sport,6.8,Fahrrad,nein,49.008238,8.399335,48.97781,8.457915,Innenstadt-West,Wolfartsweier
4,32,weiblich,Schüler*in,Familie mit Kindern,Oststadt,08:25,08:47,Wolfartsweier,Waldstadt Zentrum,Erholung,5.4,zu Fuß,nein,48.97781,8.457915,49.03498,8.441002,Wolfartsweier,Waldstadt
4,32,weiblich,Schüler*in,Familie mit Kindern,Oststadt,09:09,09:34,Waldstadt Zentrum,Wildparkstadion,Heimweg,2.2,Fahrrad,nein,49.03498,8.441002,49.009716,8.401216,Waldstadt,Innenstadt-West
5,60,weiblich,Rentner*in,Paar ohne Kinder,Mühlburg,05:37,06:01,Siemensallee,Badische Landesbibliothek,Arbeit,3.2,ÖPNV,nein,49.024334,8.355937,49.009716,8.401216,Mühlburg,Innenstadt-West
5,60,weiblich,Rentner*in,Paar ohne Kinder,Mühlburg,07:28,08:09,Badische Landesbibliothek,Alter Schlachthof,Freizeit,6.0,multimodal,ja,49.009716,8.401216,49.005437,8.430296,Innenstadt-West,Oststadt
5,60,weiblich,Rentner*in,Paar ohne Kinder,Mühlburg,16:45,17:25,Alter Schlachthof,Siemensallee,Heimweg,6.8,Fahrrad,nein,49.005437,8.430296,49.024334,8.355937,Oststadt,Mühlburg
6,25,männlich,Student*in,alleinlebend,Durlach,06:53,07:09,Oberwald,Neureuter Hauptstraße,Erholung,3.2,Auto,nein,49.069726,8.298278,49.049897,8.374259,Knielingen,Neureut
6,25,männlich,Student*in,alleinlebend,Durlach,14:35,15:13,Neureuter Hauptstraße,Hofgarten,Freizeit,6.6,ÖPNV,nein,49.049897,8.374259,49.009716,8.401216,Neureut,Innenstadt-West
6,25,männlich,Student*in,alleinlebend,Durlach,17:07,17:21,Hofgarten,Schlossgarten,Einkaufen,5.4,Auto,nein,49.009716,8.401216,48.963669,8.614669,Innenstadt-West,Stupferich
6,25,männlich,Student*in,alleinlebend,Durlach,18:42,18:52,Schlossgarten,Südweststadt,Schule/Uni,4.8,Fahrrad,nein,48.963669,8.614669,49.000095,8.384074,Stupferich,Südweststadt
6,25,männlich,Student*in,alleinlebend,Durlach,20:21,20:56,Südweststadt,Bundesgerichtshof,Sport,4.7,Auto,nein,49.000095,8.384074,49.009716,8.401216,Südweststadt,Innenstadt-West
6,25,männlich,Student*in,alleinlebend,Durlach,02:20,02:59,Bundesgerichtshof,Durlach Zentrum,Arztbesuch,3.3,Fahrrad,nein,49.009716,8.401216,48.99915,8.471758,Innenstadt-West,Durlach
6,25,männlich,Student*in,alleinlebend,Durlach,03:22,03:35,Durlach Zentrum,Kammertheater Karlsruhe,Arbeit,5.1,Auto,nein,48.99915,8.471758,53.653046,12.801859,Durlach,Hagsfeld
6,25,männlich,Student*in,alleinlebend,Durlach,10:15,10:58,Kammertheater Karlsruhe,Oberwald,Heimweg,4.4,Fahrrad,nein,53.653046,12.801859,49.069726,8.298278,Hagsfeld,Knielingen
7,78,männlich,Student*in,alleinlebend,Durlach,06:49,07:04,Erbprinzenstraße,Alter Flugplatz,Erholung,5.5,ÖPNV,nein,49.008238,8.399335,48.881109,10.569976,Innenstadt-West,Stupferich
7,78,männlich,Student*in,alleinlebend,Durlach,09:28,09:53,Alter Flugplatz,Hagsfeld,Freizeit,5.0,multimodal,ja,48.881109,10.569976,49.0309,8.45886,Stupferich,Hagsfeld
7,78,männlich,Student*in,alleinlebend,Durlach,10:15,10:29,Hagsfeld,Wolfartsweier,Einkaufen,5.1,Auto,nein,49.0309,8.45886,48.97781,8.457915,Hagsfeld,Wolfartsweier
7,78,männlich,Student*in,alleinlebend,Durlach,18:23,18:41,Wolfartsweier,Kriegsstraße,Einkaufen,3.3,Fahrrad,nein,48.97781,8.457915,49.004556,8.419383,Wolfartsweier,Oststadt
7,78,männlich,Student*in,alleinlebend,Durlach,21:33,22:17,Kriegsstraße,Palmbach,Arbeit,4.6,multimodal,ja,49.004556,8.419383,48.946262,8.482302,Oststadt,Palmbach
7,78,männlich,Student*in,alleinlebend,Durlach,22:46,23:02,Palmbach,Neureut,Einkaufen,3.8,Auto,nein,48.946262,8.482302,49.046406,8.377001,Palmbach,Neureut
7,78,männlich,Student*in,alleinlebend,Durlach,00:35,01:03,Neureut,Schloss Karlsruhe,Schule/Uni,4.1,multimodal,ja,49.046406,8.377001,53.653046,12.801859,Neureut,Hagsfeld
7,78,männlich,Student*in,alleinlebend,Durlach,07:58,08:39,Schloss Karlsruhe,Erbprinzenstraße,Heimweg,7.2,ÖPNV,nein,53.653046,12.801859,49.008238,8.399335,Hagsfeld,Innenstadt-West
8,38,männlich,Schüler*in,Wohngemeinschaft,Oststadt,05:46,06:12,KIT Campus Süd,Bismarckstraße,Arztbesuch,5.6,E-Scooter,nein,49.009716,8.401216,49.012967,8.393,Innenstadt-West,Innenstadt-West
8,38,männlich,Schüler*in,Wohngemeinschaft,Oststadt,08:46,09:03,Bismarckstraße,Stadtmuseum Karlsruhe,Freizeit,3.7,E-Scooter,nein,49.012967,8.393,53.653046,12.801859,Innenstadt-West,Hagsfeld
8,38,männlich,Schüler*in,Wohngemeinschaft,Oststadt,10:33,11:18,Stadtmuseum Karlsruhe,KIT Campus Süd,Heimweg,2.8,Fahrrad,nein,53.653046,12.801859,49.009716,8.401216,Hagsfeld,Innenstadt-West
