PersonenID,Alter,Geschlecht,Beruf,Haushaltstyp,Wohnviertel,Startzeit,Endzeit,Startort,Zielort,Zweck,Entfernung_km,Verkehrsmittel,Multimodal
1,46,männlich,Angestellt,Paar ohne Kinder,Oberreut,05:33,05:57,Innenstadt-West,Innenstadt-Ost,Begleitung,7.8,ÖPNV,nein
1,46,männlich,Angestellt,Paar ohne Kinder,Oberreut,06:09,06:46,Innenstadt-Ost,Innenstadt-Ost,Heimweg,0.8,multimodal,ja
1,46,männlich,Angestellt,Paar ohne Kinder,Oberreut,08:20,08:31,Innenstadt-Ost,Innenstadt-West,Heimweg,7.2,multimodal,ja
2,37,männlich,Schüler*in,alleinlebend,Grötzingen,06:23,06:50,Grünwinkel,Innenstadt-Ost,Arbeit,3.3,multimodal,ja
2,37,männlich,Schüler*in,alleinlebend,Grötzingen,14:26,14:57,Innenstadt-Ost,Innenstadt-West,Arbeit,2.6,zu Fuß,nein
2,37,männlich,Schüler*in,alleinlebend,Grötzingen,19:44,20:18,Innenstadt-West,Oststadt,Heimweg,2.3,zu Fuß,nein
2,37,männlich,Schüler*in,alleinlebend,Grötzingen,21:46,22:30,Oststadt,Weststadt,Heimweg,1.3,zu Fuß,nein
2,37,männlich,Schüler*in,alleinlebend,Grötzingen,00:20,00:53,Weststadt,Innenstadt-Ost,Schule/Uni,2.8,multimodal,ja
2,37,männlich,Schüler*in,alleinlebend,Grötzingen,07:21,07:36,Innenstadt-Ost,Innenstadt-West,Einkaufen,4.5,ÖPNV,nein
2,37,männlich,Schüler*in,alleinlebend,Grötzingen,08:16,08:49,Innenstadt-West,Grünwinkel,Heimweg,5.9,ÖPNV,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Grötzingen,06:52,07:12,Oberreut,Innenstadt-West,Freizeit,1.4,zu Fuß,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Grötzingen,10:10,10:55,Innenstadt-West,Oststadt,Freizeit,7.3,ÖPNV,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Grötzingen,12:24,12:36,Oststadt,Durlach,Schule/Uni,2.8,ÖPNV,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Grötzingen,21:26,21:56,Durlach,Weststadt,Einkaufen,2.1,zu Fuß,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Grötzingen,22:55,23:14,Weststadt,Innenstadt-West,Sport,2.9,E-Scooter,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Grötzingen,01:49,02:26,Innenstadt-West,Durlach,Erholung,4.0,Fahrrad,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Grötzingen,03:43,04:25,Durlach,Innenstadt-Ost,Erholung,3.4,multimodal,ja
3,49,weiblich,Angestellt,Familie mit Kindern,Grötzingen,05:45,06:22,Innenstadt-Ost,Oberreut,Heimweg,2.9,Fahrrad,nein
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,06:37,06:47,Grünwinkel,Innenstadt-Ost,Einkaufen,2.3,zu Fuß,nein
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,07:34,08:05,Innenstadt-Ost,Weststadt,Arbeit,1.3,multimodal,ja
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,14:19,15:01,Weststadt,Mühlburg,Schule/Uni,2.8,zu Fuß,nein
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,21:33,22:15,Mühlburg,Innenstadt-West,Sport,2.6,ÖPNV,nein
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,00:54,01:37,Innenstadt-West,Grünwinkel,Einkaufen,1.5,Fahrrad,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,06:09,06:24,Durlach,Weststadt,Arztbesuch,9.6,multimodal,ja
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,08:33,07:46,Weststadt,Weststadt,Schule/Uni,1.9,ÖPNV,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,15:22,15:45,Weststadt,Grötzingen,Heimweg,3.8,Fahrrad,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,17:06,17:39,Grötzingen,Neureut,Freizeit,3.5,multimodal,ja
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,18:47,19:18,Neureut,Neureut,Arbeit,0.8,zu Fuß,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,01:10,01:20,Neureut,Innenstadt-Ost,Arbeit,1.8,zu Fuß,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,08:59,08:23,Innenstadt-Ost,Oststadt,Heimweg,2.5,Fahrrad,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,10:06,10:46,Oststadt,Weststadt,Sport,2.7,Fahrrad,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,11:58,12:35,Weststadt,Durlach,Heimweg,4.6,multimodal,ja
6,35,weiblich,Rentner*in,alleinlebend,Grötzingen,06:56,07:12,Oberreut,Oststadt,Sport,2.5,Fahrrad,nein
6,35,weiblich,Rentner*in,alleinlebend,Grötzingen,08:59,08:58,Oststadt,Innenstadt-West,Sport,3.4,ÖPNV,nein
6,35,weiblich,Rentner*in,alleinlebend,Grötzingen,10:07,10:45,Innenstadt-West,Oberreut,Heimweg,7.8,ÖPNV,nein
7,62,männlich,Student*in,Wohngemeinschaft,Innenstadt-West,06:53,07:08,Innenstadt-Ost,Weststadt,Arbeit,4.4,ÖPNV,nein
7,62,männlich,Student*in,Wohngemeinschaft,Innenstadt-West,12:57,13:32,Weststadt,Oststadt,Begleitung,9.0,multimodal,ja
7,62,männlich,Student*in,Wohngemeinschaft,Innenstadt-West,13:50,14:29,Oststadt,Innenstadt-Ost,Heimweg,4.6,Auto,nein
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,06:41,07:00,Mühlburg,Innenstadt-West,Begleitung,2.7,zu Fuß,nein
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,07:27,07:40,Innenstadt-West,Innenstadt-Ost,Arbeit,1.3,zu Fuß,nein
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,16:11,16:31,Innenstadt-Ost,Neureut,Freizeit,1.2,zu Fuß,nein
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,18:47,19:01,Neureut,Innenstadt-West,Einkaufen,4.0,Fahrrad,nein
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,20:07,20:32,Innenstadt-West,Innenstadt-Ost,Arbeit,5.1,multimodal,ja
