PersonenID,Alter,Geschlecht,Beruf,Haushaltstyp,Wohnviertel,Startzeit,Endzeit,Startort,Zielort,Zweck,Entfernung_km,Verkehrsmittel,Multimodal
1,46,männlich,Angestellt,Paar ohne Kinder,Durlach,05:47,06:03,Rheinhafen,Europabad,Begleitung,7.8,ÖPNV,nein
1,46,männlich,Angestellt,Paar ohne Kinder,Durlach,06:15,06:52,Europabad,Weststadt,Heimweg,1.8,multimodal,ja
1,46,männlich,Angestellt,Paar ohne Kinder,Durlach,07:51,08:33,Weststadt,Rheinhafen,Heimweg,6.1,multimodal,ja
2,37,männlich,Schüler*in,alleinlebend,Neureut,05:30,05:50,Weststadt,Siemensallee,Arbeit,4.6,multimodal,ja
2,37,männlich,Schüler*in,alleinlebend,Neureut,11:09,11:32,Siemensallee,ZKM,Arbeit,2.6,zu Fuß,nein
2,37,männlich,Schüler*in,alleinlebend,Neureut,16:19,16:53,ZKM,FH Karlsruhe,Heimweg,1.6,zu Fuß,nein
2,37,männlich,Schüler*in,alleinlebend,Neureut,18:40,19:06,FH Karlsruhe,Weststadt,Heimweg,3.3,E-Scooter,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Durlach,06:43,07:05,Hbf,Rheinhafen,Arbeit,2.2,Fahrrad,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Durlach,13:01,13:29,Rheinhafen,ZKM,Freizeit,8.0,ÖPNV,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Durlach,16:19,16:35,ZKM,Waldstadt Zentrum,Einkaufen,4.5,ÖPNV,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Durlach,17:58,18:31,Waldstadt Zentrum,Siemensallee,Freizeit,1.4,zu Fuß,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Durlach,20:56,21:23,Siemensallee,Schloss Karlsruhe,Freizeit,6.5,ÖPNV,nein
3,49,weiblich,Angestellt,Familie mit Kindern,Durlach,22:32,22:52,Schloss Karlsruhe,Hbf,Heimweg,2.4,Fahrrad,nein
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,06:57,07:27,Rheinhafen,Weststadt,Einkaufen,7.3,ÖPNV,nein
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,08:58,08:23,Weststadt,Waldstadt Zentrum,Arztbesuch,3.2,Fahrrad,nein
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,09:53,10:23,Waldstadt Zentrum,Städtisches Klinikum,Heimweg,4.6,ÖPNV,nein
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,12:15,12:54,Städtisches Klinikum,Hagsfeld,Sport,2.1,ÖPNV,nein
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,15:29,16:14,Hagsfeld,Europabad,Freizeit,3.7,Fahrrad,nein
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,18:08,18:43,Europabad,Rheinhafen,Heimweg,8.0,ÖPNV,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Knielingen,06:57,07:34,Hagsfeld,Marktplatz,Arbeit,4.8,multimodal,ja
5,35,männlich,Arbeitslos,Paar ohne Kinder,Knielingen,15:33,16:16,Marktplatz,FH Karlsruhe,Arbeit,2.8,Fahrrad,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Knielingen,20:21,20:38,FH Karlsruhe,KIT Campus Süd,Begleitung,3.4,Fahrrad,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Knielingen,20:56,21:27,KIT Campus Süd,Weststadt,Einkaufen,4.0,ÖPNV,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Knielingen,22:26,22:36,Weststadt,Hbf,Schule/Uni,2.9,zu Fuß,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Knielingen,04:50,05:32,Hbf,Waldstadt Zentrum,Arbeit,3.4,Fahrrad,nein
5,35,männlich,Arbeitslos,Paar ohne Kinder,Knielingen,10:26,10:55,Waldstadt Zentrum,Hagsfeld,Heimweg,5.6,ÖPNV,nein
6,35,weiblich,Rentner*in,alleinlebend,Mühlburg,06:37,06:47,Städtisches Klinikum,FH Karlsruhe,Heimweg,3.1,Fahrrad,nein
6,35,weiblich,Rentner*in,alleinlebend,Mühlburg,08:03,08:04,FH Karlsruhe,Hbf,Freizeit,8.6,multimodal,ja
6,35,weiblich,Rentner*in,alleinlebend,Mühlburg,08:48,09:49,Hbf,Rheinhafen,Arbeit,1.4,zu Fuß,nein
6,35,weiblich,Rentner*in,alleinlebend,Mühlburg,18:21,18:39,Rheinhafen,Städtisches Klinikum,Heimweg,1.4,zu Fuß,nein
7,62,männlich,Student*in,Wohngemeinschaft,Knielingen,06:58,07:20,Rüppurrer Straße,Europabad,Arbeit,3.9,Auto,nein
7,62,männlich,Student*in,Wohngemeinschaft,Knielingen,14:31,15:09,Europabad,Rheinhafen,Schule/Uni,3.5,Fahrrad,nein
7,62,männlich,Student*in,Wohngemeinschaft,Knielingen,21:15,21:39,Rheinhafen,FH Karlsruhe,Sport,1.3,multimodal,ja
7,62,männlich,Student*in,Wohngemeinschaft,Knielingen,23:49,00:13,FH Karlsruhe,Städtisches Klinikum,Sport,1.9,Fahrrad,nein
7,62,männlich,Student*in,Wohngemeinschaft,Knielingen,02:43,02:56,Städtisches Klinikum,Rüppurrer Straße,Heimweg,3.6,Fahrrad,nein
8,50,weiblich,Selbstständig,alleinlebend,Südweststadt,06:32,06:55,Wildparkstadion,ZKM,Einkaufen,6.5,ÖPNV,nein
8,50,weiblich,Selbstständig,alleinlebend,Südweststadt,08:21,09:01,ZKM,Waldstadt Zentrum,Arbeit,4.4,ÖPNV,nein
8,50,weiblich,Selbstständig,alleinlebend,Südweststadt,13:49,14:05,Waldstadt Zentrum,Wildparkstadion,Heimweg,2.2,zu Fuß,nein
9,32,weiblich,Angestellt,alleinlebend,Neureut,06:21,06:52,Marktplatz,Waldstadt Zentrum,Arbeit,2.7,Auto,nein
9,32,weiblich,Angestellt,alleinlebend,Neureut,12:30,12:52,Waldstadt Zentrum,Weststadt,Begleitung,1.9,zu Fuß,nein
9,32,weiblich,Angestellt,alleinlebend,Neureut,13:07,13:34,Weststadt,Rüppurrer Straße,Arbeit,2.1,zu Fuß,nein
9,32,weiblich,Angestellt,alleinlebend,Neureut,18:12,18:50,Rüppurrer Straße,Hagsfeld,Freizeit,2.6,zu Fuß,nein
9,32,weiblich,Angestellt,alleinlebend,Neureut,20:02,20:15,Hagsfeld,KIT Campus Süd,Einkaufen,3.3,Fahrrad,nein
9,32,weiblich,Angestellt,alleinlebend,Neureut,20:45,21:00,KIT Campus Süd,Marktplatz,Heimweg,2.8,zu Fuß,nein
10,47,weiblich,Angestellt,alleinlebend,Knielingen,06:18,06:28,Hagsfeld,Wildparkstadion,Freizeit,2.6,zu Fuß,nein
10,47,weiblich,Angestellt,alleinlebend,Knielingen,09:08,09:47,Wildparkstadion,Europabad,Begleitung,4.6,Auto,nein
10,47,weiblich,Angestellt,alleinlebend,Knielingen,10:14,10:55,Europabad,Durlach Zentrum,Arbeit,2.0,Fahrrad,nein
10,47,weiblich,Angestellt,alleinlebend,Knielingen,15:24,16:08,Durlach Zentrum,KIT Campus Süd,Arbeit,3.4,multimodal,ja
10,47,weiblich,Angestellt,alleinlebend,Knielingen,20:33,21:13,KIT Campus Süd,Hbf,Begleitung,3.0,E-Scooter,nein
10,47,weiblich,Angestellt,alleinlebend,Knielingen,21:28,21:41,Hbf,Hagsfeld,Heimweg,2.5,zu Fuß,nein
11,32,weiblich,Angestellt,alleinlebend,Knielingen,06:00,06:35,Hbf,Waldstadt Zentrum,Sport,7.0,ÖPNV,nein
11,32,weiblich,Angestellt,alleinlebend,Knielingen,08:06,08:18,Waldstadt Zentrum,Rüppurrer Straße,Einkaufen,4.7,ÖPNV,nein
11,32,weiblich,Angestellt,alleinlebend,Knielingen,09:21,09:51,Rüppurrer Straße,Hbf,Heimweg,2.5,zu Fuß,nein
12,32,weiblich,Angestellt,Wohngemeinschaft,Südweststadt,06:52,07:21,Rheinhafen,Durlach Zentrum,Arztbesuch,4.0,Fahrrad,nein
12,32,weiblich,Angestellt,Wohngemeinschaft,Südweststadt,08:50,09:04,Durlach Zentrum,Hbf,Schule/Uni,5.7,multimodal,ja
12,32,weiblich,Angestellt,Wohngemeinschaft,Südweststadt,13:55,14:09,Hbf,Waldstadt Zentrum,Begleitung,5.1,ÖPNV,nein
12,32,weiblich,Angestellt,Wohngemeinschaft,Südweststadt,14:23,14:55,Waldstadt Zentrum,Rheinhafen,Heimweg,4.5,Fahrrad,nein
13,42,männlich,Schüler*in,Wohngemeinschaft,Südweststadt,06:08,06:51,Schloss Karlsruhe,Wildparkstadion,Einkaufen,1.4,zu Fuß,nein
13,42,männlich,Schüler*in,Wohngemeinschaft,Südweststadt,08:06,07:56,Wildparkstadion,Rüppurrer Straße,Arbeit,2.7,Fahrrad,nein
13,42,männlich,Schüler*in,Wohngemeinschaft,Südweststadt,16:39,16:58,Rüppurrer Straße,Rheinhafen,Heimweg,5.9,multimodal,ja
13,42,männlich,Schüler*in,Wohngemeinschaft,Südweststadt,18:11,18:34,Rheinhafen,Städtisches Klinikum,Arbeit,4.2,Fahrrad,nein
